Building Type
All Buildings
Houses
"Semi-detached, row or terrace houses, townhouses - Total"
"Semi-detached, row or terrace houses, townhouses - One storey"
"Semi-detached, row or terrace houses, townhouses - Two or more storeys"
Apartments - Total including those attached to a house
Apartments - In a one or two storey block
Apartments - In a three storey block
Apartments - In a four to eight storey block
Apartments - In a nine or more storey block
Total Residential
Total Other Residential
Retail and wholesale trade buildings
Transport buildings
Offices
Commercial buildings n.e.c.
Commercial Buildings - Total
Factories and other secondary production buildings
Warehouses
Agricultural and aquacultural buildings
Other industrial buildings n.e.c.
Industrial Buildings - Total
Education buildings
Religion buildings
Aged care facilities
Health buildings
Entertainment and recreation buildings
Short term accommodation buildings
Other non-residential n.e.c.
Other Non-residential - Total
Total Non-Residential
Dwellings excluding new residential
Dwelling excluding houses
